WARNING  : Скважина 21333/1 (id - 82472) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 288д/1 (id - 6680) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32704/1 (id - 70611) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 13506/1 (id - 6428) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32723/1 (id - 71192) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14781/1 (id - 6433) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32129/1 (id - 6624) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32150/1 (id - 73846) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 21179/1 (id - 6208) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20840/1 (id - 6151) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32409/1 (id - 68859) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32542/1 (id - 6450) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 10788/1 (id - 65019) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 14865/1 (id - 6532) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32916/1 (id - 55648) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 11225д/1 (id - 6523) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20535/1 (id - 89436) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 20826/1 (id - 81252) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
WARNING  : Скважина 32137/1 (id - 73613) из РИГИС сопоставилась с перфорациями по названию, нгду и площади
